Rating,Title,Author,Type,Asin,Tags,Review,Mrp,Selling Price,Discount
0,The Killing Kind,John Connolly,Book,340771224,,i still haven't had time to read this one...,250,220,2
0,The Third Secret,Steve Berry,Book,340899263,,need to find time to read this book,251,221,3
3,The Last Templar,Raymond Khoury,Book,752880705,,,252,222,4
5,The Traveller,John Twelve Hawks,Book,059305430X,,,253,223,5
4,Crisis Four,Andy Mcnab,Book,345428080,,,254,224,6
5,Prey,Michael Crichton,Book,7154534,,,255,225,7
3,The Broker (Paperback),John Grisham,Book,440241588,book johngrisham,"good book, but is slow in the middle",256,226,8
3,Without Blood (Paperback),Alessandro Baricco,Book,1841955744,,,257,227,9
5,State of Fear (Paperback),Michael Crichton,Book,61015733,,,258,228,10
4,The Rule of Four (Paperback),Ian Caldwell,Book,99451956,book bestseller,,259,229,11
4,Deception Point (Paperback),Dan Brown,Book,671027387,book danbrown bestseller,,260,230,12
5,Digital Fortress : A Thriller (Mass Market Paperback),Dan Brown,Book,312995423,book danbrown bestseller,,261,231,13
5,Angels & Demons (Mass Market Paperback),Dan Brown,Book,671027360,book danbrown bestseller,,262,232,14
4,The Da Vinci Code (Hardcover),Dan Brown,   Book   ,385504209,book movie danbrown bestseller davinci,,263,233,15
